1 sr:competitor:14882 Djokovic, Novak
2 sr:competitor:14486 Nadal, Rafael
3 sr:competitor:14342 Federer, Roger
4 sr:competitor:43748 Thiem, Dominic
5 sr:competitor:57163 Zverev, Alexander
6 sr:competitor:15733 Nishikori, Kei
7 sr:competitor:122366 Tsitsipas, Stefanos
8 sr:competitor:15561 Anderson, Kevin
9 sr:competitor:15276 Del Potro, Juan Martin
10 sr:competitor:15387 Cilic, Marin
11 sr:competitor:16120 Isner, John
12 sr:competitor:15434 Fognini, Fabio
13 sr:competitor:90080 Khachanov, Karen
14 sr:competitor:163504 Medvedev, Daniil
15 sr:competitor:64580 Coric, Borna
16 sr:competitor:14844 Monfils, Gael
17 sr:competitor:18111 Raonic, Milos
18 sr:competitor:26204 Basilashvili, Nikoloz
19 sr:competitor:44549 Cecchinato, Marco
20 sr:competitor:16720 Bautista-Agut, Roberto
21 sr:competitor:24418 Pella, Guido
22 sr:competitor:117916 Shapovalov, Denis
23 sr:competitor:25838 Goffin, David
24 sr:competitor:48599 Schwartzman, Diego
25 sr:competitor:57703 Pouille, Lucas
26 sr:competitor:214182 de Minaur, Alex
27 sr:competitor:65382 Edmund, Kyle
28 sr:competitor:14736 Simon, Gilles
29 sr:competitor:14548 Wawrinka, Stan
30 sr:competitor:195800 Auger Aliassime, Felix
31 sr:competitor:39234 Lajovic, Dusan
32 sr:competitor:97231 Djere, Laslo
33 sr:competitor:112783 Berrettini, Matteo
34 sr:competitor:101101 Tiafoe, Frances
35 sr:competitor:64570 Garin, Christian
36 sr:competitor:62490 Kyrgios, Nick
37 sr:competitor:47770 Fucsovics, Marton
38 sr:competitor:14488 Verdasco, Fernando
39 sr:competitor:14414 Gasquet, Richard
40 sr:competitor:44553 Herbert, Pierre-Hugues
41 sr:competitor:158896 Hurkacz, Hubert
42 sr:competitor:15829 Chardy, Jeremy
43 sr:competitor:40800 Carreno-Busta, Pablo
44 sr:competitor:44547 Albot, Radu
45 sr:competitor:95935 Norrie, Cameron
46 sr:competitor:22218 Paire, Benoit
47 sr:competitor:16683 Kukushkin, Mikhail
48 sr:competitor:23581 Dimitrov, Grigor
49 sr:competitor:15789 Cuevas, Pablo
50 sr:competitor:15894 Mannarino, Adrian
51 sr:competitor:46391 Struff, Jan-Lennard
52 sr:competitor:136042 Fritz, Taylor
53 sr:competitor:130400 Opelka, Reilly
54 sr:competitor:16409 Ebden, Matthew
55 sr:competitor:126356 Munar Clar, Jaume Antoni
56 sr:competitor:14624 Kohlschreiber, Philipp
57 sr:competitor:33115 Millman, John
58 sr:competitor:49172 Dzumhur, Damir
59 sr:competitor:38493 Johnson, Steve
60 sr:competitor:15983 Klizan, Martin
