id1,name1,id2,name2,match,ranking,surface,previous,winner
sr:competitor:44547,Albot Radu,sr:competitor:16375,Evans Daniel,sr:match:17463447,0.461,0.533,0.5,0
sr:competitor:63438,Mcdonald Mackenzie,sr:competitor:44547,Albot Radu,sr:match:17459053,0.519,0.502,0.0,1
sr:competitor:16375,Evans Daniel,sr:competitor:16120,Isner John,sr:match:17458745,0.572,0.496,0.5,0
sr:competitor:15276,Del Potro Juan Martin,sr:competitor:63438,Mcdonald Mackenzie,sr:match:17453251,0.446,0.445,0.5,1
sr:competitor:38493,Johnson Steve,sr:competitor:44547,Albot Radu,sr:match:17453167,0.515,0.541,0.5,1
sr:competitor:15894,Mannarino Adrian,sr:competitor:16120,Isner John,sr:match:17443515,0.539,0.558,0.857,1
sr:competitor:14773,Seppi Andreas,sr:competitor:16375,Evans Daniel,sr:match:17443343,0.482,0.575,0.5,1
sr:competitor:15276,Del Potro Juan Martin,sr:competitor:130400,Opelka Reilly,sr:match:17433195,0.456,0.411,0.5,0
sr:competitor:14651,Garcia-Lopez Guillermo,sr:competitor:63438,Mcdonald Mackenzie,sr:match:17431641,0.559,0.572,0.5,1
sr:competitor:44547,Albot Radu,sr:competitor:62490,Kyrgios Nick,sr:match:17431643,0.508,0.519,1.0,0
sr:competitor:38493,Johnson Steve,sr:competitor:14914,Lorenzi Paolo,sr:match:17432445,0.455,0.473,0.5,0
sr:competitor:15804,Lacko Lukas,sr:competitor:16120,Isner John,sr:match:17432683,0.635,0.556,1.0,1
sr:competitor:157808,Harris Lloyd,sr:competitor:16375,Evans Daniel,sr:match:17433075,0.508,0.458,0.5,1
sr:competitor:15894,Mannarino Adrian,sr:competitor:15743,Istomin Denis,sr:match:17432579,0.447,0.519,0.5,0
sr:competitor:14773,Seppi Andreas,sr:competitor:87690,Thompson Jordan,sr:match:17432581,0.497,0.548,0.0,0
sr:competitor:15276,Del Potro Juan Martin,sr:competitor:59281,Nishioka Yoshihito,sr:match:17387343,0.434,0.462,0.5,0
sr:competitor:16375,Evans Daniel,sr:competitor:101101,Tiafoe Frances,sr:match:17396537,0.549,0.468,0.0,0
sr:competitor:36678,Sandgren Tennys,sr:competitor:130400,Opelka Reilly,sr:match:17387345,0.54,0.458,0.0,1
sr:competitor:15894,Mannarino Adrian,sr:competitor:66470,Schnur Brayden,sr:match:17387361,0.435,0.492,0.5,0
sr:competitor:16174,Polansky Peter,sr:competitor:16120,Isner John,sr:match:17387365,0.614,0.543,0.5,1
sr:competitor:14773,Seppi Andreas,sr:competitor:17080,Tomic Bernard,sr:match:17387357,0.48,0.525,1.0,0
sr:competitor:15929,Smyczek Tim,sr:competitor:14914,Lorenzi Paolo,sr:match:17396533,0.627,0.469,0.5,1
sr:competitor:87690,Thompson Jordan,sr:competitor:15568,Granollers Marcel,sr:match:17387359,0.46,0.49,0.5,0
sr:competitor:38493,Johnson Steve,sr:competitor:63446,Jung Jason,sr:match:17395505,0.43,0.525,0.5,0
sr:competitor:44547,Albot Radu,sr:competitor:14527,Karlovic Ivo,sr:match:17387353,0.447,0.475,0.0,0
sr:competitor:63438,Mcdonald Mackenzie,sr:competitor:136042,Fritz Taylor,sr:match:17387349,0.511,0.514,1.0,0
sr:competitor:14651,Garcia-Lopez Guillermo,sr:competitor:101465,Donaldson Jared,sr:match:17387347,0.379,0.55,0.0,0
sr:competitor:62490,Kyrgios Nick,sr:competitor:33115,Millman John,sr:match:17387355,0.479,0.467,1.0,0
sr:competitor:157808,Harris Lloyd,sr:competitor:51323,King Darian,sr:match:17396535,0.384,0.439,0.5,0
sr:competitor:15743,Istomin Denis,sr:competitor:14465,Lopez Diaz-Guerra Feliciano,sr:match:17387363,0.497,0.444,1.0,0
sr:competitor:15804,Lacko Lukas,sr:competitor:157302,Watanuki Yosuke,sr:match:17396539,0.461,0.558,1.0,0
sr:competitor:15737,Young Donald,sr:competitor:16375,Evans Daniel,sr:match:17390879,0.614,0.571,0.5,1
sr:competitor:128552,Popyrin Alexei,sr:competitor:51323,King Darian,sr:match:17390823,0.402,0.504,0.5,1
sr:competitor:16040,Menendez-Maceiras Adrian,sr:competitor:15929,Smyczek Tim,sr:match:17390709,0.42,0.465,1.0,1
sr:competitor:157302,Watanuki Yosuke,sr:competitor:51836,Arevalo-Gonzalez Marcelo,sr:match:17390273,0.38,0.429,0.5,0
sr:competitor:17038,Smith John-Patrick,sr:competitor:51323,King Darian,sr:match:17387337,0.52,0.547,0.0,1
sr:competitor:129368,Koepfer Dominik,sr:competitor:16375,Evans Daniel,sr:match:17387329,0.59,0.521,1.0,1
sr:competitor:16040,Menendez-Maceiras Adrian,sr:competitor:16057,Arnaboldi Andrea,sr:match:17387331,0.447,0.414,0.4,0
sr:competitor:55427,Fratangelo Bjorn,sr:competitor:15737,Young Donald,sr:match:17387327,0.439,0.488,0.5,1
sr:competitor:15929,Smyczek Tim,sr:competitor:46390,Uchiyama Yasutaka,sr:match:17387333,0.547,0.509,0.5,0
sr:competitor:51836,Arevalo-Gonzalez Marcelo,sr:competitor:58877,Ramanathan Ramkumar,sr:match:17387341,0.66,0.526,0.5,0
sr:competitor:58369,Bolt Alex,sr:competitor:157302,Watanuki Yosuke,sr:match:17387339,0.447,0.524,0.5,1
sr:competitor:48599,Schwartzman Diego,sr:competitor:44549,Cecchinato Marco,sr:match:17390735,0.505,0.52,0.0,1
sr:competitor:43748,Thiem Dominic,sr:competitor:48599,Schwartzman Diego,sr:match:17387369,0.48,0.427,0.25,1
sr:competitor:44549,Cecchinato Marco,sr:competitor:24418,Pella Guido,sr:match:17387263,0.498,0.492,0.25,0
sr:competitor:48599,Schwartzman Diego,sr:competitor:16822,Ramos-Vinolas Albert,sr:match:17381681,0.436,0.473,0.0,0
sr:competitor:43748,Thiem Dominic,sr:competitor:15789,Cuevas Pablo,sr:match:17381647,0.455,0.423,0.5,0
